rank,tier,name,url,gold,silver,bronze,points,country,region,city,occupation,organization,YM,name_id,rank_name_id,latest_rank
607,master,Keisho OH,https://www.kaggle.com/keisho,2,3,2,13857,Japan,Tokyo,Tokyo,ML Engineer,"Recruit Co., Ltd.",2022-06,oks (keisho),[Rank: 842] oks (keisho),842.0
608,expert,Minh Tri Phan,https://www.kaggle.com/shinomoriaoshi,0,8,0,13842,Switzerland,St. Gallen,St. Gallen,Research Assistant,University of St.Gallen,2022-06,Minh Tri Phan (shinomoriaoshi),[Rank: 421] Minh Tri Phan (shinomoriaoshi),421.0
609,master,Toru Ito,https://www.kaggle.com/iru538,1,12,4,13823,Japan,Iwate,Iwate,Software Engineer,UNKOWN,2022-06,Toru Ito (iru538),[Rank: 885] Toru Ito (iru538),885.0
610,expert,Hiroshi Sakiyama,https://www.kaggle.com/hiroshisakiyama,0,0,3,13821,Japan,Yamagata,Yamagata,prof,YU,2022-06,Hiroshi Sakiyama (hiroshisakiyama),[Rank: 297] Hiroshi Sakiyama (hiroshisakiyama),297.0
611,master,cc,https://www.kaggle.com/slimcat,5,1,0,13816,China,Beijing,Beijing,Master,BUAA,2022-06,cc (slimcat),[Rank: 456] cc (slimcat),456.0
612,expert,Gabriel Preda,https://www.kaggle.com/gpreda,0,0,4,13803,Romania,Bucharest,Bucharest,Data Scientist,Endava,2022-06,Gabriel Preda (gpreda),[Rank: 435] Gabriel Preda (gpreda),435.0
613,master,Tawara,https://www.kaggle.com/ttahara,2,5,4,13786,Japan,Tokyo,Shibuya City,Researcher,Tech Company,2022-06,Tawara (ttahara),[Rank: 863] Tawara (ttahara),863.0
614,expert,Rashmi Margani,https://www.kaggle.com/validmodel,0,2,2,13784,India,Karnataka,Bengaluru,ML Engg,Remote,2022-06,Rashmi Margani (validmodel),[Rank: 646] Rashmi Margani (validmodel),646.0
615,expert,FLG2k,https://www.kaggle.com/ferdinandlimburg,1,1,0,13783,UNKOWN,UNKOWN,UNKOWN,UNKOWN,UNKOWN,2022-06,FLG2k (ferdinandlimburg),[Rank: 891] FLG2k (ferdinandlimburg),891.0
616,master,Arthur Llau,https://www.kaggle.com/arthurllau,2,13,18,13776,France,Île-de-France,Paris,Head of Data,Flowlity,2022-06,Arthur Llau (arthurllau),[Rank: 826] Arthur Llau (arthurllau),826.0
617,master,Sergey Zlobin,https://www.kaggle.com/sergeyzlobin,1,7,2,13771,Russia,UNKOWN,Moscow,Software Engineer,ABBYY,2022-06,Sergey Zlobin (sergeyzlobin),[Rank: 894] Sergey Zlobin (sergeyzlobin),894.0
618,grandmaster,Chahhou Mohamed,https://www.kaggle.com/mchahhou,7,11,3,13761,Morocco,Tangier-Tétouan-Al Hoceima,Tetouan,Professor,Faculty of Science Tetouan,2022-06,Chahhou Mohamed (mchahhou),[Rank: 818] Chahhou Mohamed (mchahhou),818.0
619,expert,cpptake,https://www.kaggle.com/takeshikobayashi,2,0,2,13735,Japan,Shiga,Kusatsu,Engineer,Jananese company,2022-06,cpptake (takeshikobayashi),[Rank: 840] cpptake (takeshikobayashi),840.0
620,master,Maxim Tsygankov,https://www.kaggle.com/chubasik,1,6,1,13723,Russia,UNKOWN,Moscow,RecSys,Tinkoff,2022-06,Maxim Tsygankov (chubasik),[Rank: 412] Maxim Tsygankov (chubasik),412.0
621,expert,Robson,https://www.kaggle.com/robsonsan,0,3,1,13721,Brazil,State of Rio de Janeiro,Macaé,Petroleum Engineer,UNKOWN,2022-06,Robson (robsonsan),[Rank: 287] Robson (robsonsan),287.0
622,expert,ywakizaka,https://www.kaggle.com/ywakizaka,0,0,4,13709,Japan,Kanagawa,Yokohama,UNKOWN,"Boad Rail Co., Ltd.",2022-06,ywakizaka (ywakizaka),[Rank: 822] ywakizaka (ywakizaka),822.0
623,master,jayjay,https://www.kaggle.com/jayjay75,1,11,17,13694,France,Île-de-France,Paris,work,Orange,2022-06,jayjay (jayjay75),[Rank: 869] jayjay (jayjay75),869.0
624,master,ouyangxuan,https://www.kaggle.com/oyxuan,3,7,0,13655,China,Zhejiang,Hangzhou,student,Zhejiang University,2022-06,ouyangxuan (oyxuan),[Rank: 901] ouyangxuan (oyxuan),901.0
625,expert,dehokanta,https://www.kaggle.com/dehokanta,0,4,1,13655,Japan,Tokyo,Tokyo,UNKOWN,UNKOWN,2022-06,dehokanta (dehokanta),[Rank: 850] dehokanta (dehokanta),850.0
626,expert,bomac1,https://www.kaggle.com/bomac1,1,1,1,13652,Japan,Tokyo,Tokyo,UNKOWN,UNKOWN,2022-06,bomac1 (bomac1),[Rank: 166] bomac1 (bomac1),166.0
627,master,Hugues,https://www.kaggle.com/seuguh,1,5,2,13639,France,Île-de-France,Paris,France Lab,IBM,2022-06,Hugues (seuguh),[Rank: 798] Hugues (seuguh),798.0
628,master,T88,https://www.kaggle.com/t88take,1,3,4,13610,Japan,Osaka,Osaka,Data Scientist,p,2022-06,T88 (t88take),[Rank: 647] T88 (t88take),647.0
629,expert,German Abramov,https://www.kaggle.com/germanjke,0,1,6,13607,China,Guangdong Province,Shenzhen,Researcher,Huawei,2022-06,German Abramov (germanjke),[Rank: 674] German Abramov (germanjke),674.0
630,expert,Travis Buhrow,https://www.kaggle.com/travisbuhrow,1,0,1,13581,United States,Iowa,Des Moines,Assistant Actuary,Principal Financial Group,2022-06,Travis Buhrow (travisbuhrow),[Rank: 903] Travis Buhrow (travisbuhrow),903.0
631,expert,Nooh,https://www.kaggle.com/nuhsikander,0,7,14,13547,Estonia,Harju County,Tallinn,Lead Data Scientist,Pipedrive,2022-06,Nooh (nuhsikander),[Rank: 908] Nooh (nuhsikander),908.0
632,master,benedikt.d,https://www.kaggle.com/benbla,2,1,1,13525,Germany,North Rhine-Westphalia,Düsseldorf,Data Analyst,MSR,2022-06,benedikt.d (benbla),[Rank: 799] benedikt.d (benbla),799.0
633,expert,nabeman,https://www.kaggle.com/nabeman,0,2,0,13497,Japan,Saitama,Saitama,Data Analyst,Japan,2022-06,nabeman (nabeman),[Rank: 862] nabeman (nabeman),862.0
634,expert,H.Ochiai,https://www.kaggle.com/dsohonosom,0,6,1,13466,Japan,Nara,Nara,System Engineer,UNKOWN,2022-06,H.Ochiai (dsohonosom),[Rank: 493] H.Ochiai (dsohonosom),493.0
635,expert,RAHUL SINGH INDA,https://www.kaggle.com/rsinda,0,2,9,13450,India,Rajasthan,Falna,Data Scientist,Embibe,2022-06,RAHUL SINGH INDA (rsinda),[Rank: 915] RAHUL SINGH INDA (rsinda),915.0
636,master,rishigami,https://www.kaggle.com/rishigami,2,8,1,13407,Japan,Tokyo,Tokyo,ᐠ(   ᐢ ᵕ ᐢ )ᐟ,　,2022-06,rishigami (rishigami),[Rank: 916] rishigami (rishigami),916.0
637,master,ryches,https://www.kaggle.com/ryches,3,8,3,13393,United States,California,San Diego,Data Scientist,H2O,2022-06,ryches (ryches),[Rank: 917] ryches (ryches),917.0
638,expert,Alberto Benayas,https://www.kaggle.com/benayas,0,3,2,13380,United States,New York,New York,Machine Learning Engineer,UNKOWN,2022-06,Alberto Benayas (benayas),[Rank: 890] Alberto Benayas (benayas),890.0
639,expert,lisr,https://www.kaggle.com/lisr56,0,7,2,13376,China,Guangdong Province,Guangzhou,student,scut,2022-06,lisr (lisr56),[Rank: 921] lisr (lisr56),921.0
640,grandmaster,Xuan Cao,https://www.kaggle.com/naivelamb,7,8,1,13375,United States,California,Sunnyvale,Kaggler,Night,2022-06,Xuan Cao (naivelamb),[Rank: 922] Xuan Cao (naivelamb),922.0
641,master,F.J.Martinez-de-Pison,https://www.kaggle.com/jpison,1,22,7,13325,Spain,La Rioja,Logroño,Prof.,University of La Rioja,2022-06,F.J.Martinez-de-Pison (jpison),[Rank: 796] F.J.Martinez-de-Pison (jpison),796.0
642,expert,tomoo inubushi,https://www.kaggle.com/tomooinubushi,0,5,1,13256,UNKOWN,UNKOWN,UNKOWN,UNKOWN,UNKOWN,2022-06,tomoo inubushi (tomooinubushi),[Rank: 833] tomoo inubushi (tomooinubushi),833.0
643,expert,myaun,https://www.kaggle.com/haradataman,0,7,5,13233,Japan,Tokyo,Tokyo,data scientist,CADDi,2022-06,myaun (haradataman),[Rank: 854] myaun (haradataman),854.0
644,master,Cakey,https://www.kaggle.com/cakeisgood,2,2,0,13233,United States,California,San Diego,Data Scientist,ML Startup,2022-06,Cakey (cakeisgood),[Rank: 906] Cakey (cakeisgood),906.0
645,expert,Hinz,https://www.kaggle.com/kakarroto,1,1,2,13230,China,Guangdong Province,Shenzhen,UNKOWN,UNKOWN,2022-06,Hinz (kakarroto),[Rank: 533] Hinz (kakarroto),533.0
646,expert,liuzhangzhen,https://www.kaggle.com/liuzhangzhen,0,3,3,13217,Japan,Tokyo,Tokyo,Data Scientist,Consulting company,2022-06,liuzhangzhen (liuzhangzhen),[Rank: 727] liuzhangzhen (liuzhangzhen),727.0
647,grandmaster,Hikkiiiiiiiii,https://www.kaggle.com/wochidadonggua,5,2,3,13196,China,Beijing,Beijing,( º﹃º ),⁽⁽ଘ( ˙꒳˙ )ଓ⁾⁾,2022-06,Hikkiiiiiiiii (wochidadonggua),[Rank: 933] Hikkiiiiiiiii (wochidadonggua),933.0
648,expert,radmirkaz,https://www.kaggle.com/hijest,0,3,1,13175,United States,North Carolina,Charlotte,MLE,Tochka Bank,2022-06,radmirkaz (hijest),[Rank: 810] radmirkaz (hijest),810.0
649,expert,Yuya Shintani,https://www.kaggle.com/uplus26e7,0,2,3,13167,Japan,Kanagawa,Fujisawa,UNKOWN,UNKOWN,2022-06,Yuya Shintani (uplus26e7),[Rank: 596] Yuya Shintani (uplus26e7),596.0
650,expert,Michał Stolarczyk,https://www.kaggle.com/michalstolarczyk,2,0,0,13141,Poland,Masovian Voivodeship,Warsaw,Machine Learning Engineer,Nethone,2022-06,Michał Stolarczyk (michalstolarczyk),[Rank: 886] Michał Stolarczyk (michalstolarczyk),886.0
651,master,Cl_ev,https://www.kaggle.com/cl2ev1,2,1,4,13139,United Kingdom,England,London,UNKOWN,UNKOWN,2022-06,Cl_ev (cl2ev1),[Rank: 937] Cl_ev (cl2ev1),937.0
652,master,MeisterMorxrc,https://www.kaggle.com/meistermorxrc,3,4,2,13138,China,Tianjin,Tianjin,kaggle,night,2022-06,MeisterMorxrc (meistermorxrc),[Rank: 856] MeisterMorxrc (meistermorxrc),856.0
653,expert,Jian Xu,https://www.kaggle.com/haoren,1,1,1,13136,China,Beijing,Beijing,UNKOWN,UNKOWN,2022-06,Jian Xu (haoren),[Rank: 938] Jian Xu (haoren),938.0
654,master,mrkmakr,https://www.kaggle.com/mrkmakr,1,8,4,13121,Japan,Kyoto,Kyoto,Engineer,Yahoo! Japan,2022-06,mrkmakr (mrkmakr),[Rank: 940] mrkmakr (mrkmakr),940.0
655,expert,James Howard,https://www.kaggle.com/jamesphoward,2,0,1,13112,United Kingdom,England,London,Cardiologist,Imperial College London,2022-06,James Howard (jamesphoward),[Rank: 528] James Howard (jamesphoward),528.0
656,expert,TianyuZhu,https://www.kaggle.com/zhutianyucs,0,5,0,13109,Australia,Queensland,Brisbane,Student,UQ,2022-06,TianyuZhu (zhutianyucs),[Rank: 941] TianyuZhu (zhutianyucs),941.0
657,master,Raghawendra Singh,https://www.kaggle.com/raghaw,1,5,11,13098,India,Delhi,New Delhi,Senior Research Engineer,CDOT,2022-06,Raghawendra Singh (raghaw),[Rank: 943] Raghawendra Singh (raghaw),943.0
658,expert,housuke,https://www.kaggle.com/horsek,0,7,1,13037,Japan,Aichi,Nagoya,Mechanical Engineer,Transportation Equipment Manufacturer,2022-06,housuke (horsek),[Rank: 458] housuke (horsek),458.0
659,master,Masoud Farivar,https://www.kaggle.com/engenious,2,7,8,13035,United States,California,Mountain View,UNKOWN,Google,2022-06,Masoud Farivar (engenious),[Rank: 949] Masoud Farivar (engenious),949.0
660,master,Kelvin,https://www.kaggle.com/xyzdivergence,2,1,2,13032,Singapore,UNKOWN,Singapore,Data Scientist,UNKOWN,2022-06,Kelvin (xyzdivergence),[Rank: 442] Kelvin (xyzdivergence),442.0
661,expert,Olga Ivanova,https://www.kaggle.com/olgaiv39,0,1,5,13021,Poland,Lesser Poland Voivodeship,Kraków,ML Engineer,Epam Poland,2022-06,Olga Ivanova (olgaiv39),[Rank: 950] Olga Ivanova (olgaiv39),950.0
662,expert,TY.Yang,https://www.kaggle.com/tianyiy,0,3,5,13020,United States,Oklahoma,Norman,analyst,scippc,2022-06,TY.Yang (tianyiy),[Rank: 882] TY.Yang (tianyiy),882.0
663,expert,something4kag,https://www.kaggle.com/something4kag,0,1,7,13008,UNKOWN,UNKOWN,UNKOWN,UNKOWN,UNKOWN,2022-06,something4kag (something4kag),[Rank: 857] something4kag (something4kag),857.0
664,expert,Mintal,https://www.kaggle.com/kurokikni,0,0,2,12987,UNKOWN,UNKOWN,UNKOWN,UNKOWN,UNKOWN,2022-06,Mintal (kurokikni),[Rank: 619] Mintal (kurokikni),619.0
665,expert,mirandora,https://www.kaggle.com/mirandora,0,4,5,12979,Japan,Tokyo,Minato City,media planner,ad agency,2022-06,mirandora (mirandora),[Rank: 632] mirandora (mirandora),632.0
666,master,Aimoldin Anuar [dsmlkz],https://www.kaggle.com/sneddy,3,6,2,12972,Australia,New South Wales,Sydney,AI Engineer,Harrison.ai,2022-06,Aimoldin Anuar [dsmlkz] (sneddy),[Rank: 893] Aimoldin Anuar [dsmlkz] (sneddy),893.0
667,master,Rishiraj Acharya,https://www.kaggle.com/rishirajacharya,1,3,1,12967,India,West Bengal,Kolkata,Machine Learning Engineer,Dynopii Inc.,2022-06,Rishiraj Acharya (rishirajacharya),[Rank: 772] Rishiraj Acharya (rishirajacharya),772.0
668,master,JJShadow,https://www.kaggle.com/rvslight,1,5,1,12944,South Korea,Gyeonggi-do,Seongnam-si,AI Vision Engineer,Samsung Electronics,2022-06,JJShadow (rvslight),[Rank: 956] JJShadow (rvslight),956.0
669,master,MOONMOON,https://www.kaggle.com/kevin1742064161,1,7,0,12881,China,Guangdong Province,Guangzhou,graduate student, None,2022-06,ZhaoQin (kevin1742064161),[Rank: 207] ZhaoQin (kevin1742064161),207.0
670,master,Mark Tenenholtz,https://www.kaggle.com/marktenenholtz,1,2,1,12869,United States,Ohio,Cincinnati,Senior Data Scientist,84.51,2022-06,Mark Tenenholtz (marktenenholtz),[Rank: 535] Mark Tenenholtz (marktenenholtz),535.0
671,expert,bturan19,https://www.kaggle.com/bturan19,1,1,0,12850,Turkey,Istanbul,Istanbul,Data Scientist - MsC in Financial Engineering,UNKOWN,2022-06,bturan19 (bturan19),[Rank: 932] bturan19 (bturan19),932.0
672,grandmaster,Ruslan Baikulov,https://www.kaggle.com/romul0212,5,5,0,12845,Russia,UNKOWN,Moscow,Tech Lead,osai.ai,2022-06,Ruslan Baikulov (romul0212),[Rank: 964] Ruslan Baikulov (romul0212),964.0
673,expert,Izotov,https://www.kaggle.com/izotov,0,1,4,12837,Russia,UNKOWN,Moscow,IT Project Manager,ITsBI,2022-06,Izotov (izotov),[Rank: 357] Izotov (izotov),357.0
674,expert,treesky,https://www.kaggle.com/treesky,1,1,1,12835,Australia,New South Wales,Ultimo,UNKOWN,UNKOWN,2022-06,treesky (treesky),[Rank: 711] treesky (treesky),711.0
675,master,Rinat,https://www.kaggle.com/trytolose,3,5,0,12752,Serbia,UNKOWN,Belgrade,Data scientist,UNKOWN,2022-06,Rinat (trytolose),[Rank: 902] Rinat (trytolose),902.0
676,expert,Shogo Asa,https://www.kaggle.com/shogo21,0,0,2,12751,Japan,Chiba,Matsudo,Freelancer,home,2022-06,Shogo Asa (shogo21),[Rank: 638] Shogo Asa (shogo21),638.0
677,expert,Javu,https://www.kaggle.com/x2x21x21x21,1,0,2,12743,Slovenia,UNKOWN,Ljubljana,UNKOWN,UNKOWN,2022-06,Javu (x2x21x21x21),[Rank: 973] Javu (x2x21x21x21),973.0
678,expert,Clevert,https://www.kaggle.com/clevert,0,5,1,12738,UNKOWN,UNKOWN,UNKOWN,student,UNKOWN,2022-06,Clevert (clevert),[Rank: 288] Clevert (clevert),288.0
679,expert,Muhammad Ahmed,https://www.kaggle.com/muhammad4hmed,0,5,8,12722,Pakistan,Sindh,Karachi,Final Year BSCS student,FAST NUCES ,2022-06,Muhammad Ahmed (muhammad4hmed),[Rank: 609] Muhammad Ahmed (muhammad4hmed),609.0
680,expert,🤗konita🤗,https://www.kaggle.com/konitac,0,1,3,12679,Japan,Tokyo,Tokyo,Software Engineer,UNKOWN,2022-06,🤗konita🤗 (konitac),[Rank: 681] 🤗konita🤗 (konitac),681.0
681,master,adityasinha,https://www.kaggle.com/adityakumarsinha,2,19,7,12674,India,UNKOWN,UNKOWN,UNKOWN,UNKOWN,2022-06,InnerVoice (adityakumarsinha),[Rank: 378] InnerVoice (adityakumarsinha),378.0
682,expert,Eric Vos,https://www.kaggle.com/a45632,0,5,10,12664,Belgium,Brussels,Brussels,IT Architect,ING,2022-06,Eric Vos (a45632),[Rank: 981] Eric Vos (a45632),981.0
683,master,Totoro,https://www.kaggle.com/misaki1111,2,6,4,12649,China,Guangdong Province,Shenzhen,Data Mining,Totoro ,2022-06,gaozhenwei (misaki1111),[Rank: 494] gaozhenwei (misaki1111),494.0
684,expert,anonamename,https://www.kaggle.com/anonamename,0,6,2,12633,Japan,Kanagawa,Yokohama,Research Engineer,NSSOL,2022-06,anonamename (anonamename),[Rank: 292] anonamename (anonamename),292.0
685,expert,shigengtian,https://www.kaggle.com/shigengtian,0,5,3,12625,Japan,Tokyo,Chuo City,Anonymous,otemachi,2022-06,shigengtian (shigengtian),[Rank: 496] shigengtian (shigengtian),496.0
686,expert,Takach,https://www.kaggle.com/takach,0,3,2,12625,Japan,Fukushima,Yabuki,Chemist,JTC,2022-06,Takach (takach),[Rank: 479] Takach (takach),479.0
687,master,Yamame🐟,https://www.kaggle.com/tyaiga,1,2,1,12622,Japan,Kanagawa,Yokohama,UNKOWN,UNKOWN,2022-06,Yamame🐟 (tyaiga),[Rank: 984] Yamame🐟 (tyaiga),984.0
688,master,maverick,https://www.kaggle.com/sahil711,1,3,1,12611,India,Karnataka,Bengaluru,Data Scientist,OkCredit,2022-06,maverick (sahil711),[Rank: 971] maverick (sahil711),971.0
689,expert,rotto,https://www.kaggle.com/pirotototo4023,0,10,1,12603,Japan,Tokyo,Tokyo,DS,Bank,2022-06,rotto (pirotototo4023),[Rank: 695] rotto (pirotototo4023),695.0
690,expert,Fabien Crom,https://www.kaggle.com/fabiencrom,0,1,3,12548,UNKOWN,UNKOWN,UNKOWN,UNKOWN,UNKOWN,2022-06,Fabien Crom (fabiencrom),[Rank: 536] Fabien Crom (fabiencrom),536.0
691,master,Frank Puk,https://www.kaggle.com/pukkinming,1,3,7,12536,United States,District of Columbia,Washington,UNKOWN,UNKOWN,2022-06,Frank Puk (pukkinming),[Rank: 849] Frank Puk (pukkinming),849.0
692,master,Tim Yee,https://www.kaggle.com/teeyee314,1,5,2,12530,United States,New York,New York,Data Science,Dell Technologies,2022-06,Tim Yee (teeyee314),[Rank: 905] Tim Yee (teeyee314),905.0
693,expert,Tyler Ransom,https://www.kaggle.com/tyleransom,0,3,0,12501,United States,Oklahoma,Norman,Assistant Professor of Economics,University of Oklahoma,2022-06,Tyler Ransom (tyleransom),[Rank: 990] Tyler Ransom (tyleransom),990.0
694,master,Atanas Atanasov,https://www.kaggle.com/atanasova,2,24,9,12478,Bulgaria,Sofia City Province,Sofia,Deep Learning,DataRobot,2022-06,Atanas Atanasov (atanasova),[Rank: 995] Atanas Atanasov (atanasova),995.0
695,expert,Gopi Durgaprasad,https://www.kaggle.com/gopidurgaprasad,0,5,4,12478,India,Andhra Pradesh,Annavaram,Data Scientist,Karmalife.ai,2022-06,Gopi Durgaprasad (gopidurgaprasad),[Rank: 865] Gopi Durgaprasad (gopidurgaprasad),865.0
696,master,sazuma,https://www.kaggle.com/shoheiazuma,1,2,2,12475,Japan,Saitama,Saitama,Kaggler,home,2022-06,sazuma (shoheiazuma),[Rank: 926] sazuma (shoheiazuma),926.0
697,expert,cafe au lait,https://www.kaggle.com/blendy2019,0,0,4,12455,Japan,Kyoto,Kyoto, engineer,Japanese Traditional Company,2022-06,cafe au lait (blendy2019),[Rank: 843] cafe au lait (blendy2019),843.0
698,expert,Jason,https://www.kaggle.com/xiaojin712,0,4,3,12411,Hong Kong,UNKOWN,Hong Kong,Data Scientist,Freelance,2022-06,Jie Jin (xiaojin712),[Rank: 830] Jie Jin (xiaojin712),830.0
699,master,ggsddu,https://www.kaggle.com/tianshuaifei,3,8,3,12407,China,Beijing,Beijing,ggs,ddu,2022-06,ggsddu (tianshuaifei),[Rank: 977] ggsddu (tianshuaifei),977.0
700,master,Meng Di,https://www.kaggle.com/hughshaoqz,4,6,2,12404,United States,California,San Francisco,Staff ML Engineer,LinkedIn,2022-06,Meng Di (hughshaoqz),[Rank: 999] Meng Di (hughshaoqz),999.0
701,master,hoyso48,https://www.kaggle.com/hoyso48,1,2,0,12385,South Korea,Seoul,Seoul,Student,Korea University,2022-06,hoyso48 (hoyso48),[Rank: 744] hoyso48 (hoyso48),744.0
702,expert,codefluence,https://www.kaggle.com/codefluence,1,0,1,12368,Spain,Community of Madrid,Madrid,developer,freelancer,2022-06,codefluence (codefluence),[Rank: 413] codefluence (codefluence),413.0
703,grandmaster,Eureka,https://www.kaggle.com/pengyan,23,28,6,12365,China,Beijing,Beijing,Researcher,MeiTuan,2022-06,Eureka (pengyan),[Rank: 1000+] Eureka (pengyan),1001.0
704,master,Nick Sergievskiy,https://www.kaggle.com/nicksergievskiy,5,2,1,12357,Russia,UNKOWN,UNKOWN,UNKOWN,UNKOWN,2022-06,Nick Sergievskiy (nicksergievskiy),[Rank: 946] Nick Sergievskiy (nicksergievskiy),946.0
705,master,Ilya Novoselskiy,https://www.kaggle.com/ilya9711nov,1,2,0,12356,Belarus,Minsk Region,Minsk,Data Scientist,Freshly,2022-06,Ilya Novoselskiy (ilya9711nov),[Rank: 877] Ilya Novoselskiy (ilya9711nov),877.0
706,expert,algernone,https://www.kaggle.com/chamecall,2,0,0,12349,Belarus,Minsk Region,Minsk,Data Scientist,ItechArt,2022-06,algernone (chamecall),[Rank: 958] algernone (chamecall),958.0
707,expert,Neo Zhao,https://www.kaggle.com/laplaceplanet,0,6,2,12313,China,Shanghai,Shanghai,Running,24,2022-06,Neo Zhao (laplaceplanet),[Rank: 952] Neo Zhao (laplaceplanet),952.0
708,expert,Joseph Gesnouin,https://www.kaggle.com/josephjzk,0,1,3,12261,France,Île-de-France,Paris,PhD Student,Mines ParisTech,2022-06,Joseph Gesnouin (josephjzk),[Rank: 1000+] Joseph Gesnouin (josephjzk),1001.0
709,master,woody285,https://www.kaggle.com/woody285,2,1,0,12258,UNKOWN,UNKOWN,UNKOWN,UNKOWN,UNKOWN,2022-06,woody285 (woody285),[Rank: 1000+] woody285 (woody285),1001.0
710,expert,Nin7a1,https://www.kaggle.com/nin7a1,0,5,2,12245,China,Shanghai,Shanghai,Student,SJTU,2022-06,Nin7a1 (nin7a1),[Rank: 912] Nin7a1 (nin7a1),912.0
711,master,u++,https://www.kaggle.com/sishihara,1,5,2,12241,Japan,Tokyo,Tokyo,Data Scientist,a media company,2022-06,u++ (sishihara),[Rank: 959] u++ (sishihara),959.0
712,expert,DeepUnderstanding,https://www.kaggle.com/mrinath,1,1,0,12192,India,Assam,Guwahati,student,"NIT Silchar, Assam ,India",2022-06,DeepUnderstanding (mrinath),[Rank: 883] DeepUnderstanding (mrinath),883.0
713,master,neongen,https://www.kaggle.com/neongen,2,17,12,12185,Greece,UNKOWN,Athens,UNKOWN,UNKOWN,2022-06,neongen (neongen),[Rank: 663] neongen (neongen),663.0
714,master,Tom57,https://www.kaggle.com/thomastilli,3,9,9,12178,Germany,Hesse,Rüsselsheim,Senior Data Scientist,Freelancer,2022-06,Tom57 (thomastilli),[Rank: 1000+] Tom57 (thomastilli),1001.0
715,master,tomo20180402,https://www.kaggle.com/tomo20180402,1,5,2,12165,Japan,Tokyo,Tokyo,UNKOWN,UNKOWN,2022-06,tomo20180402 (tomo20180402),[Rank: 310] tomo20180402 (tomo20180402),310.0
716,master,Ricky,https://www.kaggle.com/losveria,1,2,2,12121,Japan,Tokyo,Tokyo,Data Scientist,DeNA,2022-06,Ricky (losveria),[Rank: 969] Ricky (losveria),969.0
717,expert,podsyp,https://www.kaggle.com/podsyp,0,1,5,12106,Russia,UNKOWN,Moscow,Data scientist,IT,2022-06,podsyp (podsyp),[Rank: 1000+] podsyp (podsyp),1001.0
718,expert,Jin Niu,https://www.kaggle.com/gufanmingmie,1,0,1,12095,China,Heilongjiang,Harbin,PhD candidate,Harbin Institute of Technology,2022-06,Niu Jin (gufanmingmie),[Rank: 137] Niu Jin (gufanmingmie),137.0
719,expert,Wonjun Park🏆,https://www.kaggle.com/wonjunpark,0,1,3,12090,South Korea,Seoul,Seoul,Student, University,2022-06,Wonjun Park (wonjunpark),[Rank: 914] Wonjun Park (wonjunpark),914.0
720,expert,Rakesh P Tiwari,https://www.kaggle.com/rakeshptiwari,1,0,1,12087,Canada,Quebec,Montreal,Wh,   is  the  question ?,2022-06,Rakesh P Tiwari (rakeshptiwari),[Rank: 1000+] Rakesh P Tiwari (rakeshptiwari),1001.0
721,expert,tensor choko,https://www.kaggle.com/tensorchoko,0,0,3,12086,Japan,Kanagawa,Kawasaki,UNKOWN,UNKOWN,2022-06,tensor choko (tensorchoko),[Rank: 395] tensor choko (tensorchoko),395.0
722,expert,PaulG,https://www.kaggle.com/pgeiger,0,8,1,12065,Canada,Ontario,Toronto,UNKOWN,UNKOWN,2022-06,PaulG (pgeiger),[Rank: 406] PaulG (pgeiger),406.0
723,expert,Gena,https://www.kaggle.com/gdonchyts,0,1,4,12058,Netherlands,South Holland,The Hague,Researcher,Deltares,2022-06,Gena (gdonchyts),[Rank: 1000+] Gena (gdonchyts),1001.0
724,expert,PC Jimmmy,https://www.kaggle.com/pcjimmmy,0,2,2,12054,United States,Pennsylvania,Pittsburgh,Consultant ,Retired,2022-06,PC Jimmmy (pcjimmmy),[Rank: 838] PC Jimmmy (pcjimmmy),838.0
725,expert,newt,https://www.kaggle.com/yoshito,0,2,7,12047,Japan,Tokyo,Tokyo,UNKOWN,UNKOWN,2022-06,newt (yoshito),[Rank: 679] newt (yoshito),679.0
726,expert,Apolo,https://www.kaggle.com/shkanda,0,2,2,12046,Japan,Tokyo,Tokyo,Kaggler,XXX,2022-06,Apolo (shkanda),[Rank: 602] Apolo (shkanda),602.0
727,master,Richard DDDD,https://www.kaggle.com/richardzy,1,2,3,12035,China,Guangdong Province,Guangzhou,Student,Tsinghua University,2022-06,Keith-Yang (richardzy),[Rank: 954] Keith-Yang (richardzy),954.0
728,expert,LearningNN,https://www.kaggle.com/koheishima,1,0,1,12024,Japan,Tokyo,Tokyo,UNKOWN,Bank,2022-06,LearningNN (koheishima),[Rank: 993] LearningNN (koheishima),993.0
729,master,Wong,https://www.kaggle.com/cwwong1606,1,5,1,12012,Hong Kong,UNKOWN,Hong Kong,UNKOWN,UNKOWN,2022-06,Wong (cwwong1606),[Rank: 757] Wong (cwwong1606),757.0
730,expert,Dannykm,https://www.kaggle.com/dannykm,1,1,2,12006,South Korea,Gyeonggi-do,Goyang-si,Undergraduate Student,Kyunghee University ,2022-06,Dannykm (dannykm),[Rank: 1000+] Dannykm (dannykm),1001.0
731,grandmaster,anokas,https://www.kaggle.com/anokas,9,11,4,11993,United Kingdom,England,Guildford,Mikel Bober-Irizar,UNKOWN,2022-06,anokas (anokas),[Rank: 1000+] anokas (anokas),1001.0
